L1,L2,L3
c1(cc(cc(n1)c1ccccn1)c1cc(c(c(c1)OC)OC)OC)c1ncccc1,c1nccn1C, [O-]Cl(=O)(=O)=O 
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,C1=C(C2=C(C=C1)C(C(=CC2=O)C)=O)O[H],O[N+](=O)[O-]
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1, c1c(cc2c(c1O)c(=O)cc(o2)c1ccccc1)O,O[N+](=O)[O-] 
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,c1(c(ccc(c1)/C=C/C(=C/C(=O)/C=C/c1ccc(c(c1)OC)O)/O)O)OC,O[N+](=O)[O-]
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)C)c1ncccc1 , c12cc(ccc1cc(cc2)[C@H](C(=O)O)C)OC,Cl 
c1=cc=c(c=N1)c2=cc(=nc(=c2)c3=nc=cc=c3)c4=nc=cc=c4,c12cc(ccc1cc(cc2)[C@H](C(=O)O)C)OC,Cl 
 c1(cc(cc(n1)c1ccccn1)c1occc1)c1ncccc1,c12cc(ccc1cc(cc2)[C@H](C(=O)O)C)OC,Cl 
c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H]
c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H]
c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H]
c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H]
c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H]
c1ccnc(c1)c1nc(ccc1)c1ncccc1,Cl,Cl
c1(cc(cc(n1)c1ccccn1)c1ccncc1)c1ncccc1,Cl,Cl
